Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",C_0402,2,15pF,C1548
"C10, C11, C110, C111, C112, C113, C114, C115, C116, C12, C120, C121, C122, C123, C124, C125, C13, C130, C131, C132, C133, C134, C135, C14, C140, C141, C142, C143, C144, C145, C15, C150, C151, C152, C153, C154, C155, C16, C160, C161, C162, C163, C164, C165, C17, C3, C30, C5, C6",C_0402,49,100nF,C1525
"C18, C9",C_0603,2,10uF,C19702
"C19, C20, C7, C8",C_0402,4,1uF,C52923
D1,D_SOD-123,1,B5819W SL,C8598
"D10, D11, D12, D13, D14, D15, D16, D20, D21, D22, D23, D24, D25, D30, D31, D32, D33, D34, D35, D40, D41, D42, D43, D44, D45, D50, D51, D52, D53, D54, D55, D60, D61, D62, D63, D64, D65",D_SOD-123,37,1N4148W,C81598
"F1, F2",1206,2,1.1A,C126818
"J1, J2",USB_C_Receptacle_HRO_TYPE-C-31-M-12_MergedPads,2,"Connector, USB-TYPE-C-16P",C165948
"LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED20, LED21, LED22, LED23, LED24, LED25, LED30, LED31, LED32, LED33, LED34, LED35, LED40, LED41, LED42, LED43, LED44, LED45, LED50, LED51, LED52, LED53, LED54, LED55, LED60, LED61, LED62, LED63, LED64, LED65",LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,37,SK6812MINI-E,C5149201
"R10, R11",R_0402,2,10kΩ,C25744
R15,R_0402,1,470Ω,C25117
R16,R_0402,1,120Ω,C25079
"R2, R4",R_0402,2,1kΩ,C11702
"R5, R6",R_0402,2,5.1kΩ,C25905
"R7, R8",R_0402,2,27Ω,C25100
SW1,SW_Push_1P1T_XUNPU_TS-1088-AR02016,1,BOOT,C720477
SW2,SW_Push_1P1T_XUNPU_TS-1088-AR02016,1,RESET,C720477
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,1,RP2040,C2040
"U2, U4",SOT-563_USBLC6-2P6,2,USBLC6-2P6,C49451919
U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,1,W25Q128JVPIQ,C190862
U5,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,AP2112K-3.3,C51118
U6,SOT-23-5,1,SN74LV1T34DBVR,C100024
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3,C20625731
