Line#,Qty,Designator,MPN,Manufacturer,Description,Package,Type
1,98,"C3,C5,C6,C10,C11,C12,C13,C14,C15,C16,C17,C30,C110,C111,C112,C113,C114,C115,C116,C120,C121,C122,C123,C124,C125,C130,C131,C132,C133,C134,C135,C140,C141,C142,C143,C144,C145,C150,C151,C152,C153,C154,C155,C160,C161,C162,C163,C164,C165,C203,C205,C206,C210,C211,C212,C213,C214,C215,C216,C217,C230,C310,C311,C312,C313,C314,C315,C316,C320,C321,C322,C323,C324,C325,C330,C331,C332,C333,C334,C335,C340,C341,C342,C343,C344,C345,C350,C351,C352,C353,C354,C355,C360,C361,C362,C363,C364,C365",CL05B104KO5NNNC,Samsung Electro-Mechanics,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,0402,SMD
2,74,"D10,D11,D12,D13,D14,D15,D16,D20,D21,D22,D23,D24,D25,D30,D31,D32,D33,D34,D35,D40,D41,D42,D43,D44,D45,D50,D51,D52,D53,D54,D55,D60,D61,D62,D63,D64,D65,D210,D211,D212,D213,D214,D215,D216,D220,D221,D222,D223,D224,D225,D230,D231,D232,D233,D234,D235,D240,D241,D242,D243,D244,D245,D250,D251,D252,D253,D254,D255,D260,D261,D262,D263,D264,D265",1N4148W,ST,75V Independent Type 1V@50mA 4ns 150mA SOD-123 Switching Diodes ROHS,SOD-123,SMD
3,74,"LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED20,LED21,LED22,LED23,LED24,LED25,LED30,LED31,LED32,LED33,LED34,LED35,LED40,LED41,LED42,LED43,LED44,LED45,LED50,LED51,LED52,LED53,LED54,LED55,LED60,LED61,LED62,LED63,LED64,LED65,LED210,LED211,LED212,LED213,LED214,LED215,LED216,LED220,LED221,LED222,LED223,LED224,LED225,LED230,LED231,LED232,LED233,LED234,LED235,LED240,LED241,LED242,LED243,LED244,LED245,LED250,LED251,LED252,LED253,LED254,LED255,LED260,LED261,LED262,LED263,LED264,LED265",SK6812MINI-E,OPSCO Optoelectronics,SK6812MINI-E,SK6812MINI-E 3.2x2.8mm,SMD
4,8,"C7,C8,C19,C20,C207,C208,C219,C220",CL05A105KA5NQNC,Samsung Electro-Mechanics,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,0402,SMD
5,4,"C1,C4,C201,C204",0402CG150J500NT,FH,50V 15pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,0402,SMD
6,4,"R2,R4,R202,R204",0402WGF1001TCE,UNI-ROYAL,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS,0402,SMD
7,4,"R10,R11,R210,R211",0402WGF1002TCE,UNI-ROYAL,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,0402,SMD
8,4,"R7,R8,R207,R208",0402WGF270JTCE,UNI-ROYAL,27Ω ±1% 62.5mW 0402 thick film resistor (USB series termination),0402,SMD
9,4,"R5,R6,R205,R206",0402WGF5101TCE,UNI-ROYAL,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 5.1kΩ 0402 Chip Resistor - Surface Mount ROHS,0402,SMD
10,4,"F1,F2,F201,F202",1206L110THYR,Littelfuse,"Resettable fuse, polymeric positive temperature coefficient",1206,SMD
11,4,"C9,C18,C209,C218",CL10A106KP8NNNC,Samsung Electro-Mechanics,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,0603,SMD
12,4,"J1,J2,J201,J202",HC-TYPE-C-16P-C16B,HongCheng,3A 1 Horizontal attachment 16P Female -25℃~+85℃ Type-C SMD USB Connectors ROHS,USB-C 16P mid-mount,Hybrid
13,4,"SW1,SW2,SW201,SW202",TS-1088-AR02016,XUNPU,"Push button switch, generic, two pins",SMD 4x3mm,SMD
14,4,"U2,U4,U202,U204",USBLC6-2P6,R+O,"USB ESD protection, 2 data lines and VBUS, SOT-563",SOT-563,SMD
15,2,"R16,R216",0402WGF1200TCE,UNI-ROYAL,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 120Ω 0402 Chip Resistor - Surface Mount ROHS,0402,SMD
16,2,"R15,R215",0402WGF4700TCE,UNI-ROYAL,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 470Ω 0402 Chip Resistor - Surface Mount ROHS,0402,SMD
17,2,"X1,X201",ABM8-272-T3,Abracon LLC,"12MHz 10pF 50ohm crystal, RP2040 hardware design guide reference part",SMD 3.2x2.5mm,SMD
18,2,"U5,U205",AP2112K-3.3TRG1,Diodes Inc,AP2112K-3.3,SOT-23-5,SMD
19,2,"D1,D201",B5819W SL,Changjiang Electronics Tech,40V 600mV@1A 1A SOD-123 Schottky Diodes ROHS,SOD-123,SMD
20,2,"U1,U201",RP2040,Raspberry Pi,A microcontroller by Raspberry Pi,QFN-56 7x7mm,SMD
21,2,"D2,D202",SMF5.0A,hongjiacheng,27.4A 7.3V 200W 6.4V Unidirectional 5V SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS,SOD-123FL,SMD
22,2,"U6,U206",SN74LV1T34DBVR,Texas Instruments,"Single Buffer Gate, Low-Voltage CMOS",SOT-23-5,SMD
23,2,"U3,U203",ZD25Q128CWIGR,Zetta,128Mbit WSON-8-EP(6x5) NOR FLASH ROHS,WSON-8 6x5mm,SMD
