Ref,Val,Package,PosX,PosY,Rot,Side
C1,15pF,C_0402,164.100000,-92.500000,90.000000,bottom
C3,100nF,C_0402,169.650000,-76.350000,90.000000,bottom
C4,15pF,C_0402,159.680000,-93.430000,90.000000,bottom
C5,100nF,C_0402,164.750000,-89.040000,-90.000000,bottom
C6,100nF,C_0402,165.660000,-89.040000,-90.000000,bottom
C7,1uF,C_0402,163.010000,-78.900000,90.000000,bottom
C8,1uF,C_0402,163.900000,-78.900000,90.000000,bottom
C9,10uF,C_0603,161.500000,-104.250000,0.000000,bottom
C10,100nF,C_0402,173.300000,-87.000000,180.000000,bottom
C11,100nF,C_0402,171.300000,-87.000000,0.000000,bottom
C12,100nF,C_0402,160.700000,-78.950000,0.000000,bottom
C13,100nF,C_0402,160.850000,-87.750000,0.000000,bottom
C14,100nF,C_0402,160.740000,-79.850000,180.000000,bottom
C15,100nF,C_0402,160.700000,-77.900000,0.000000,bottom
C16,100nF,C_0402,165.800000,-78.940000,90.000000,bottom
C17,100nF,C_0402,162.120000,-78.900000,90.000000,bottom
C18,10uF,C_0603,176.750000,-74.250000,180.000000,bottom
C19,1uF,C_0402,159.500000,-100.550000,90.000000,bottom
C20,1uF,C_0402,160.800000,-103.000000,180.000000,bottom
C30,100nF,C_0402,173.402325,-121.294919,45.000000,bottom
C110,100nF,C_0402,55.400001,-67.300000,-90.000000,bottom
C111,100nF,C_0402,73.400001,-67.300000,-90.000000,bottom
C112,100nF,C_0402,91.400001,-64.550000,-90.000000,bottom
C113,100nF,C_0402,109.400001,-62.425000,-90.000000,bottom
C114,100nF,C_0402,127.400001,-64.550000,-90.000000,bottom
C115,100nF,C_0402,145.400001,-66.675000,-90.000000,bottom
C116,100nF,C_0402,163.400001,-108.175000,-90.000000,bottom
C120,100nF,C_0402,55.400001,-84.300000,-90.000000,bottom
C121,100nF,C_0402,73.400001,-84.300000,-90.000000,bottom
C122,100nF,C_0402,91.400001,-81.550000,-90.000000,bottom
C123,100nF,C_0402,109.400001,-79.425000,-90.000000,bottom
C124,100nF,C_0402,127.400001,-81.550000,-90.000000,bottom
C125,100nF,C_0402,145.400001,-83.675000,-90.000000,bottom
C130,100nF,C_0402,55.400001,-101.300000,-90.000000,bottom
C131,100nF,C_0402,73.400001,-101.300000,-90.000000,bottom
C132,100nF,C_0402,91.400001,-98.550000,-90.000000,bottom
C133,100nF,C_0402,109.400001,-96.425000,-90.000000,bottom
C134,100nF,C_0402,127.400001,-98.550000,-90.000000,bottom
C135,100nF,C_0402,145.400001,-100.675000,-90.000000,bottom
C140,100nF,C_0402,55.400001,-118.300000,-90.000000,bottom
C141,100nF,C_0402,73.400001,-118.300000,-90.000000,bottom
C142,100nF,C_0402,91.400001,-115.550000,-90.000000,bottom
C143,100nF,C_0402,109.400001,-113.425000,-90.000000,bottom
C144,100nF,C_0402,127.400001,-115.550000,-90.000000,bottom
C145,100nF,C_0402,145.400001,-117.675000,-90.000000,bottom
C150,100nF,C_0402,55.400001,-135.300000,-90.000000,bottom
C151,100nF,C_0402,73.400001,-135.300000,-90.000000,bottom
C152,100nF,C_0402,91.400001,-132.550000,-90.000000,bottom
C153,100nF,C_0402,109.400001,-130.425000,-90.000000,bottom
C154,100nF,C_0402,127.400001,-132.550000,-90.000000,bottom
C155,100nF,C_0402,145.400001,-134.675000,-90.000000,bottom
C160,100nF,C_0402,82.400001,-152.800000,-90.000000,bottom
C161,100nF,C_0402,100.400001,-151.675000,-90.000000,bottom
C162,100nF,C_0402,118.400001,-151.675000,-90.000000,bottom
C163,100nF,C_0402,139.354427,-152.551462,-98.060000,bottom
C164,100nF,C_0402,159.087811,-160.883715,-19.630000,bottom
C165,100nF,C_0402,163.400001,-129.050000,-90.000000,bottom
C201,15pF,C_0402,191.000000,-77.600000,0.000000,bottom
C203,100nF,C_0402,207.150000,-83.150000,0.000000,bottom
C204,15pF,C_0402,190.070000,-73.180000,0.000000,bottom
C205,100nF,C_0402,194.460000,-78.250000,180.000000,bottom
C206,100nF,C_0402,194.460000,-79.160000,180.000000,bottom
C207,1uF,C_0402,204.600000,-76.510000,0.000000,bottom
C208,1uF,C_0402,204.600000,-77.400000,0.000000,bottom
C209,10uF,C_0603,205.500000,-104.250000,180.000000,bottom
C210,100nF,C_0402,196.500000,-86.800000,90.000000,bottom
C211,100nF,C_0402,196.500000,-84.800000,-90.000000,bottom
C212,100nF,C_0402,204.550000,-74.200000,-90.000000,bottom
C213,100nF,C_0402,195.750000,-74.350000,-90.000000,bottom
C214,100nF,C_0402,203.650000,-74.240000,90.000000,bottom
C215,100nF,C_0402,205.600000,-74.200000,-90.000000,bottom
C216,100nF,C_0402,204.560000,-79.300000,0.000000,bottom
C217,100nF,C_0402,204.600000,-75.620000,0.000000,bottom
C218,10uF,C_0603,190.441399,-75.989501,0.000000,bottom
C219,1uF,C_0402,207.500000,-100.550000,90.000000,bottom
C220,1uF,C_0402,206.200000,-103.000000,0.000000,bottom
C230,100nF,C_0402,193.597675,-121.294919,135.000000,bottom
C310,100nF,C_0402,302.400001,-67.300000,-90.000000,bottom
C311,100nF,C_0402,284.400001,-67.300000,-90.000000,bottom
C312,100nF,C_0402,266.400001,-64.550000,-90.000000,bottom
C313,100nF,C_0402,248.400001,-62.425000,-90.000000,bottom
C314,100nF,C_0402,230.400001,-64.550000,-90.000000,bottom
C315,100nF,C_0402,212.400001,-66.675000,-90.000000,bottom
C316,100nF,C_0402,194.400001,-108.175000,-90.000000,bottom
C320,100nF,C_0402,302.400001,-84.300000,-90.000000,bottom
C321,100nF,C_0402,284.400001,-84.300000,-90.000000,bottom
C322,100nF,C_0402,266.400001,-81.550000,-90.000000,bottom
C323,100nF,C_0402,248.400001,-79.425000,-90.000000,bottom
C324,100nF,C_0402,230.400001,-81.550000,-90.000000,bottom
C325,100nF,C_0402,212.400001,-83.675000,-90.000000,bottom
C330,100nF,C_0402,302.400001,-101.300000,-90.000000,bottom
C331,100nF,C_0402,284.400001,-101.300000,-90.000000,bottom
C332,100nF,C_0402,266.400001,-98.550000,-90.000000,bottom
C333,100nF,C_0402,248.400001,-96.425000,-90.000000,bottom
C334,100nF,C_0402,230.400001,-98.550000,-90.000000,bottom
C335,100nF,C_0402,212.400001,-100.675000,-90.000000,bottom
C340,100nF,C_0402,302.400001,-118.300000,-90.000000,bottom
C341,100nF,C_0402,284.400001,-118.300000,-90.000000,bottom
C342,100nF,C_0402,266.400001,-115.550000,-90.000000,bottom
C343,100nF,C_0402,248.400001,-113.425000,-90.000000,bottom
C344,100nF,C_0402,230.400001,-115.550000,-90.000000,bottom
C345,100nF,C_0402,212.400001,-117.675000,-90.000000,bottom
C350,100nF,C_0402,302.400001,-135.300000,-90.000000,bottom
C351,100nF,C_0402,284.400001,-135.300000,-90.000000,bottom
C352,100nF,C_0402,266.400001,-132.550000,-90.000000,bottom
C353,100nF,C_0402,248.400001,-130.425000,-90.000000,bottom
C354,100nF,C_0402,230.400001,-132.550000,-90.000000,bottom
C355,100nF,C_0402,212.400001,-134.675000,-90.000000,bottom
C360,100nF,C_0402,275.400001,-152.800000,-90.000000,bottom
C361,100nF,C_0402,257.400001,-151.675000,-90.000000,bottom
C362,100nF,C_0402,239.400001,-151.675000,-90.000000,bottom
C363,100nF,C_0402,218.536453,-153.841394,-81.940000,bottom
C364,100nF,C_0402,204.821497,-152.218404,-160.370000,bottom
C365,100nF,C_0402,194.400001,-129.050000,-90.000000,bottom
D1,B5819W SL,D_SOD-123,176.000000,-71.250000,-90.000000,bottom
D2,SMF5.0A,D_SOD-123FL,163.800000,-69.900000,180.000000,bottom
D10,1N4148W,D_SOD-123,52.400000,-70.000000,-90.000000,bottom
D11,1N4148W,D_SOD-123,70.400000,-70.000000,-90.000000,bottom
D12,1N4148W,D_SOD-123,88.400000,-67.250000,-90.000000,bottom
D13,1N4148W,D_SOD-123,106.400000,-65.125000,-90.000000,bottom
D14,1N4148W,D_SOD-123,124.400000,-67.250000,-90.000000,bottom
D15,1N4148W,D_SOD-123,142.400000,-69.375000,-90.000000,bottom
D16,1N4148W,D_SOD-123,160.500001,-107.875000,-90.000000,bottom
D20,1N4148W,D_SOD-123,52.400000,-87.000000,-90.000000,bottom
D21,1N4148W,D_SOD-123,70.400000,-87.000000,-90.000000,bottom
D22,1N4148W,D_SOD-123,88.400000,-84.250000,-90.000000,bottom
D23,1N4148W,D_SOD-123,106.400000,-82.125000,-90.000000,bottom
D24,1N4148W,D_SOD-123,124.400000,-84.250000,-90.000000,bottom
D25,1N4148W,D_SOD-123,142.400000,-86.375000,-90.000000,bottom
D30,1N4148W,D_SOD-123,52.400000,-104.000000,-90.000000,bottom
D31,1N4148W,D_SOD-123,70.400000,-104.000000,-90.000000,bottom
D32,1N4148W,D_SOD-123,88.400000,-101.250000,-90.000000,bottom
D33,1N4148W,D_SOD-123,106.400000,-99.125000,-90.000000,bottom
