Designator,Mid X,Mid Y,Rotation,Layer
C1,164.1,-92.5,90.0,bottom
C10,173.3,-87.0,0.0,bottom
C11,171.3,-87.0,180.0,bottom
C110,55.400001,-67.3,270.0,bottom
C111,73.400001,-67.3,270.0,bottom
C112,91.400001,-64.55,270.0,bottom
C113,109.400001,-62.425,270.0,bottom
C114,127.400001,-64.55,270.0,bottom
C115,145.400001,-66.675,270.0,bottom
C116,163.400001,-108.175,270.0,bottom
C12,160.7,-78.95,180.0,bottom
C120,55.400001,-84.3,270.0,bottom
C121,73.400001,-84.3,270.0,bottom
C122,91.400001,-81.55,270.0,bottom
C123,109.400001,-79.425,270.0,bottom
C124,127.400001,-81.55,270.0,bottom
C125,145.400001,-83.675,270.0,bottom
C13,160.85,-87.75,180.0,bottom
C130,55.400001,-101.3,270.0,bottom
C131,73.400001,-101.3,270.0,bottom
C132,91.400001,-98.55,270.0,bottom
C133,109.400001,-96.425,270.0,bottom
C134,127.400001,-98.55,270.0,bottom
C135,145.400001,-100.675,270.0,bottom
C14,160.74,-79.85,0.0,bottom
C140,55.400001,-118.3,270.0,bottom
C141,73.400001,-118.3,270.0,bottom
C142,91.400001,-115.55,270.0,bottom
C143,109.400001,-113.425,270.0,bottom
C144,127.400001,-115.55,270.0,bottom
C145,145.400001,-117.675,270.0,bottom
C15,160.7,-77.9,180.0,bottom
C150,55.400001,-135.3,270.0,bottom
C151,73.400001,-135.3,270.0,bottom
C152,91.400001,-132.55,270.0,bottom
C153,109.400001,-130.425,270.0,bottom
C154,127.400001,-132.55,270.0,bottom
C155,145.400001,-134.675,270.0,bottom
C16,165.8,-78.94,90.0,bottom
C160,82.400001,-152.8,270.0,bottom
C161,100.400001,-151.675,270.0,bottom
C162,118.400001,-151.675,270.0,bottom
C163,139.354426,-152.551461,278.06,bottom
C164,159.08781,-160.883715,199.63,bottom
C165,163.4,-129.05,270.0,bottom
C17,162.12,-78.9,90.0,bottom
C18,176.75,-74.25,0.0,bottom
C19,159.5,-100.55,90.0,bottom
C20,160.8,-103.0,0.0,bottom
C201,191.0,-77.6,180.0,bottom
C203,207.15,-83.15,180.0,bottom
C204,190.07,-73.18,180.0,bottom
C205,194.46,-78.25,0.0,bottom
C206,194.46,-79.16,0.0,bottom
C207,204.6,-76.51,180.0,bottom
C208,204.6,-77.4,180.0,bottom
C209,205.5,-104.25,0.0,bottom
C210,196.5,-86.8,90.0,bottom
C211,196.5,-84.8,270.0,bottom
C212,204.55,-74.2,270.0,bottom
C213,195.75,-74.35,270.0,bottom
C214,203.65,-74.24,90.0,bottom
C215,205.6,-74.2,270.0,bottom
C216,204.56,-79.3,180.0,bottom
C217,204.6,-75.62,180.0,bottom
C218,190.441399,-75.989501,180.0,bottom
C219,207.5,-100.55,90.0,bottom
C220,206.2,-103.0,180.0,bottom
C230,193.597675,-121.294919,45.0,bottom
C3,169.65,-76.35,90.0,bottom
C30,173.402325,-121.294919,135.0,bottom
C310,302.400001,-67.3,270.0,bottom
C311,284.400001,-67.3,270.0,bottom
C312,266.400001,-64.55,270.0,bottom
C313,248.400001,-62.425,270.0,bottom
C314,230.400001,-64.55,270.0,bottom
C315,212.400001,-66.675,270.0,bottom
C316,194.400001,-108.175,270.0,bottom
C320,302.400001,-84.3,270.0,bottom
C321,284.400001,-84.3,270.0,bottom
C322,266.400001,-81.55,270.0,bottom
C323,248.400001,-79.425,270.0,bottom
C324,230.400001,-81.55,270.0,bottom
C325,212.400001,-83.675,270.0,bottom
C330,302.400001,-101.3,270.0,bottom
C331,284.400001,-101.3,270.0,bottom
C332,266.400001,-98.55,270.0,bottom
C333,248.400001,-96.425,270.0,bottom
C334,230.400001,-98.55,270.0,bottom
C335,212.400001,-100.675,270.0,bottom
C340,302.400001,-118.3,270.0,bottom
C341,284.400001,-118.3,270.0,bottom
C342,266.400001,-115.55,270.0,bottom
C343,248.400001,-113.425,270.0,bottom
C344,230.400001,-115.55,270.0,bottom
C345,212.400001,-117.675,270.0,bottom
C350,302.400001,-135.3,270.0,bottom
C351,284.400001,-135.3,270.0,bottom
C352,266.400001,-132.55,270.0,bottom
C353,248.400001,-130.425,270.0,bottom
C354,230.400001,-132.55,270.0,bottom
C355,212.400001,-134.675,270.0,bottom
C360,275.400001,-152.8,270.0,bottom
C361,257.400001,-151.675,270.0,bottom
C362,239.400001,-151.675,270.0,bottom
C363,218.536453,-153.841394,261.94,bottom
C364,204.821497,-152.218404,340.37,bottom
C365,194.400001,-129.05,270.0,bottom
C4,159.68,-93.43,90.0,bottom
C5,164.75,-89.04,270.0,bottom
C6,165.66,-89.04,270.0,bottom
C7,163.01,-78.9,90.0,bottom
C8,163.9,-78.9,90.0,bottom
C9,161.5,-104.25,180.0,bottom
D1,176.0,-71.25,270.0,bottom
D10,52.4,-70.0,270.0,bottom
D11,70.4,-70.0,270.0,bottom
D12,88.4,-67.25,270.0,bottom
D13,106.4,-65.125,270.0,bottom
